id,customer_id,product_id,delivery_country
0,1866,686,India
1,1921,617,China
1,1921,54,Armenia
1,1921,566,China
1,1921,128,Lebanon
1,1921,976,China
2,1907,353,Spain
3,1464,330,Denmark
3,1464,555,Denmark
4,206,960,Mexico
4,206,630,Mexico
4,206,13,Mexico
5,1496,179,Finland
5,1496,927,Burundi
5,1496,873,Finland
5,1496,583,Finland
6,1176,769,France
6,1176,819,Lithuania
6,1176,984,Finland
7,1457,102,Iceland
7,1457,607,Iceland
7,1457,450,Iceland
7,1457,462,USA
8,303,749,Germany
9,1190,841,France
9,1190,706,France
10,1176,567,France
11,284,718,Angola
11,284,199,Italy
11,284,338,Senegal
12,1535,0,Russia
12,1535,816,Russia
12,1535,591,Russia
14,1008,313,Vietnam
14,1008,195,Guinea
14,1008,758,Vietnam
15,1477,569,Norway
15,1477,432,Norway
15,1477,19,Norway
16,422,864,Sweden
16,422,812,Sweden
16,422,843,Sweden
17,724,510,Mali
18,1469,326,Denmark
18,1469,199,Denmark
19,1636,90,Qatar
19,1636,227,Qatar
19,1636,987,Qatar
20,1775,354,Ivory Coast
20,1775,567,Macedonia
20,1775,31,Ivory Coast
20,1775,699,Ivory Coast
21,197,994,Spain
21,197,518,Slovakia
22,1317,26,Italy
22,1317,706,Italy
24,1404,818,Lithuania
24,1404,853,Lithuania
24,1404,968,Lithuania
24,1404,921,Lithuania
25,2084,398,Vietnam
25,2084,851,Vietnam
25,2084,30,Vietnam
25,2084,901,Rwanda
27,459,309,Russia
27,459,606,Germany
27,459,316,Russia
27,459,652,Russia
27,459,498,Russia
28,1139,439,UK
29,398,716,Poland
29,398,610,Poland
29,398,708,Tanzania
29,398,820,Poland
30,1223,974,Spain
31,1085,523,Canada
31,1085,527,Canada
31,1085,521,Canada
33,1977,437,Japan
33,1977,54,Japan
33,1977,457,Japan
34,1992,833,Japan
34,1992,769,Japan
35,1361,482,Germany
35,1361,28,Germany
35,1361,346,Norway
35,1361,615,Germany
35,1361,782,Denmark
35,1361,732,Germany
36,395,716,Benin
36,395,704,Lithuania
36,395,742,Lithuania
37,1380,301,Germany
38,962,266,South Korea
39,376,642,Belarus
39,376,486,Belarus
39,376,69,Belarus
39,376,128,Belarus
39,376,815,Belarus
40,1176,536,France
41,1761,510,Moxambique
41,1761,765,Algeria
42,1434,440,Latvia
42,1434,249,Latvia
42,1434,376,Iceland
43,73,440,UK
43,73,179,Oman
44,355,607,Austria
44,355,293,Austria
45,2040,576,Sweden
45,2040,23,Germany
46,1957,150,Japan
46,1957,94,Japan
46,1957,25,Japan
46,1957,374,Japan
46,1957,619,Japan
47,955,881,South Korea
47,955,730,South Korea
47,955,560,South Korea
48,1481,783,Macedonia
49,731,79,Benin
50,1460,851,Sweden
50,1460,226,Sweden
50,1460,983,Sweden
52,6,599,Malawi
53,591,881,Kuwait
53,591,409,Kuwait
53,591,998,Kuwait
54,566,848,Yemen
54,566,408,Yemen
54,566,85,Yemen
55,1396,895,Germany
55,1396,846,Germany
56,731,602,Benin
56,731,770,Benin
56,731,860,Benin
57,1399,28,Germany
57,1399,463,Germany
57,1399,260,Japan
57,1399,19,Germany
58,1128,809,UK
58,1128,170,UK
59,1962,423,Japan
59,1962,384,Japan
60,815,83,India
60,815,249,India
60,815,870,India
60,815,215,Albania
61,1445,390,Madagascar
61,1445,155,Latvia
62,1633,449,Burundi
62,1633,163,Algeria
63,1658,324,Egypt
63,1658,762,Egypt
63,1658,822,Finland
64,1855,68,United Arab Emirates
64,1855,132,India
65,891,136,China
66,834,720,India
66,834,119,India
67,525,292,Turkey
68,1857,265,India
69,458,812,Russia
69,458,650,Russia
69,458,53,Russia
69,458,15,Armenia
70,1928,272,China
70,1928,69,China
70,1928,238,China
70,1928,556,China
70,1928,762,Ghana
71,967,639,South Korea
73,737,3,Ghana
73,737,789,Ghana
74,1940,75,China
74,1940,637,China
75,1903,213,China
76,2046,882,Poland
76,2046,928,South Korea
77,446,960,Finland
77,446,593,South Africa
78,1785,647,Germany
78,1785,708,Algeria
79,284,980,Italy
79,284,919,Italy
81,1673,740,Iceland
81,1673,888,Egypt
81,1673,76,Egypt
84,382,699,Estonia
84,382,438,Ivory Coast
86,1064,696,USA
86,1064,798,Chad
86,1064,866,Hungry
88,1447,163,Serbia
88,1447,751,Serbia
89,598,425,Austria
89,598,434,Yemen
90,1435,991,Lithuania
90,1435,220,Lithuania
90,1435,428,Lithuania
91,1557,872,Turkey
93,68,435,Macedonia
94,314,853,Germany
95,1793,806,Tunisia
95,1793,69,Tunisia
97,955,745,Lithuania
97,955,52,South Korea
97,955,930,South Korea
97,955,36,South Korea
98,355,922,Malawi
100,835,647,Kenya
102,1388,78,Germany
102,1388,462,Germany
102,1388,755,Germany
102,1388,600,Germany
103,1858,757,India
103,1858,414,India
103,1858,580,India
105,1396,176,Germany
105,1396,660,Germany
106,1199,334,France
106,1199,716,France
107,716,773,South Africa
108,672,128,Italy
109,813,125,India
110,398,997,Lebanon
111,1553,589,Turkey
111,1553,704,Turkey
111,1553,77,Turkey
111,1553,867,Turkey
111,1553,274,Turkey
112,1368,915,Germany
113,2082,564,Egypt
113,2082,126,Vietnam
113,2082,786,Vietnam
113,2082,928,Vietnam
113,2082,915,Lebanon
113,2082,652,Vietnam
113,2082,524,Azerbaijan
114,889,382,China
115,591,799,Kuwait
117,1384,88,Germany
117,1384,957,Iceland
117,1384,193,Germany
118,569,618,Kuwait
118,569,938,Kuwait
120,1386,651,Czech Republic
120,1386,877,Germany
121,707,83,Gabon
121,707,502,Italy
121,707,828,Gabon
121,707,614,Gabon
121,707,430,Gabon
123,710,203,Mauritius
123,710,27,Mauritius
124,417,57,Denmark
124,417,775,Iceland
125,395,203,Lithuania
125,395,546,Lithuania
126,1418,421,Georgia
126,1418,802,Georgia
126,1418,939,Georgia
127,364,296,Ukraine
127,364,148,Kuwait
127,364,993,Ukraine
128,805,249,India
128,805,465,India
129,742,648,Moxambique
129,742,308,Moxambique
129,742,119,Moxambique
130,365,442,Hungry
130,365,451,Estonia
131,831,724,India
132,335,132,Germany
132,335,21,Germany
133,810,713,India
134,703,507,Zimbabwe
135,1992,816,Japan
135,1992,825,Japan
136,933,895,Japan
136,933,390,Japan
137,1775,870,Azerbaijan
137,1775,664,Ivory Coast
137,1775,847,Ivory Coast
138,1096,787,Canada
140,1183,919,France
140,1183,701,France
141,1060,854,USA
141,1060,262,USA
141,1060,169,USA
142,1885,699,Moldova
142,1885,927,India
143,373,515,Belarus
143,373,527,Belarus
143,373,428,Belarus
143,373,699,Belarus
144,1208,639,Spain
145,594,697,Saudi Arabia
146,5,263,USA
146,5,688,USA
146,5,293,USA
146,5,864,USA
147,721,102,Mali
148,703,337,Zimbabwe
148,703,779,Zimbabwe
148,703,562,Zimbabwe
148,703,558,Lebanon
148,703,482,Gabon
149,1920,820,China
150,492,309,Russia
151,595,865,Oman
152,978,630,South Korea
152,978,664,South Korea
152,978,449,South Korea
152,978,670,South Korea
152,978,163,South Korea
158,1994,572,Japan
159,1325,250,Italy
159,1325,656,Italy
160,1694,707,Egypt
160,1694,251,Namibia
161,1633,465,Saudi Arabia
161,1633,302,Saudi Arabia
161,1633,210,Saudi Arabia
161,1633,423,Cameroon
162,2046,834,South Korea
162,2046,958,Belarus
162,2046,198,South Korea
162,2046,301,Germany
162,2046,163,South Korea
163,1070,615,USA
164,563,433,Kuwait
164,563,602,Kuwait
165,1232,288,Spain
166,1979,282,Ghana
166,1979,107,Japan
166,1979,429,Japan
166,1979,881,Japan
166,1979,816,Japan
167,1361,499,Germany
168,411,967,Finland
168,411,966,Finland
169,207,128,Mexico
169,207,331,Mexico
169,207,620,Mexico
169,207,953,Poland
170,373,373,Belarus
170,373,538,Benin
171,459,774,Russia
171,459,484,Russia
172,1557,448,Turkey
172,1557,822,Turkey
173,1447,229,Serbia
173,1447,938,Serbia
173,1447,17,Serbia
173,1447,540,Mauritius
173,1447,338,Serbia
174,1370,764,Germany
174,1370,985,Germany
175,1780,677,Zimbabwe
176,1605,494,Yemen
177,734,123,Morocco
177,734,958,Moldova
177,734,574,Lesotho
178,327,521,Germany
178,327,92,Finland
178,327,645,Mauritius
178,327,619,Germany
179,1953,439,Japan
180,1176,669,France
182,1518,42,Slovenia
182,1518,242,Russia
184,284,754,Slovakia
184,284,44,Morocco
184,284,270,South Africa
185,1223,500,Burundi
185,1223,963,Spain
186,415,996,Norway
186,415,911,Finland
186,415,182,Norway
187,831,175,India
187,831,784,India
187,831,657,Iraq
188,68,35,UK
188,68,35,Senegal
188,68,953,UK
188,68,455,UK
189,1,307,Canada
189,1,508,Poland
190,2095,553,Vietnam
191,1504,188,Russia
191,1504,71,Niger
191,1504,80,Russia
192,701,912,Angola
192,701,276,Angola
192,701,565,Angola
193,257,644,Italy
193,257,553,Italy
193,257,258,Belarus
194,1653,182,Egypt
194,1653,281,Egypt
195,1626,900,Croatia
195,1626,203,Iceland
195,1626,73,United Arab Emirates
195,1626,55,United Arab Emirates
195,1626,214,United Arab Emirates
196,186,588,Spain
197,1921,336,China
197,1921,989,China
198,1658,418,Egypt
199,1565,547,Turkey
199,1565,496,Turkey
199,1565,139,Turkey
199,1565,744,Turkey
199,1565,687,Turkey
200,1313,107,Montenegro
201,1891,340,India
201,1891,858,India
202,1605,711,Yemen
202,1605,319,Czech Republic
202,1605,340,Yemen
203,1450,16,Norway
203,1450,457,Norway
204,439,711,Finland
207,1625,326,Oman
207,1625,916,Oman
207,1625,831,Oman
207,1625,378,Botswana
207,1625,539,Belarus
208,660,288,Israel
208,660,75,Israel
209,839,456,India
209,839,556,India
209,839,667,India
210,1929,819,China
210,1929,465,China
211,200,858,Madagascar
211,200,434,Mexico
212,1653,962,USA
212,1653,237,Egypt
212,1653,281,Egypt
213,1434,487,Sierra Leon
213,1434,178,Latvia
213,1434,389,Latvia
214,721,836,USA
214,721,644,Mali
215,1504,727,Russia
215,1504,8,Russia
216,32,756,Canada
217,1052,46,Canada
217,1052,37,Tunisia
218,2010,943,South Korea
218,2010,568,South Korea
218,2010,971,Slovakia
218,2010,377,South Korea
220,1070,859,Nigeria
220,1070,949,USA
221,1289,740,Mexico
222,1437,589,Slovakia
222,1437,863,Latvia
223,671,940,USA
223,671,46,Israel
223,671,953,Israel
223,671,777,Israel
223,671,390,Israel
224,988,131,South Korea
225,1884,2,India
225,1884,162,India
225,1884,437,India
225,1884,373,India
225,1884,807,Czech Republic
226,805,711,India
226,805,475,India
227,141,440,France
227,141,866,France
229,141,494,Lesotho
230,810,602,India
230,810,790,India
230,810,457,India
230,810,751,India
231,463,964,Russia
231,463,457,France
231,463,681,Russia
231,463,26,Russia
231,463,633,Russia
231,463,100,Russia
232,286,537,Italy
233,576,204,Oman
234,1673,451,Egypt
234,1673,697,Egypt
234,1673,565,Egypt
234,1673,562,Egypt
235,18,56,USA
235,18,346,USA
236,660,217,Israel
236,660,117,Israel
236,660,75,Israel
237,1759,182,Kenya
238,376,703,Belarus
238,376,505,Belarus
239,481,298,Bulgaria
239,481,504,Kuwait
241,1232,403,Spain
241,1232,996,Spain
242,355,281,Austria
243,1898,474,India
243,1898,341,India
243,1898,223,India
243,1898,946,India
245,1289,45,Mexico
246,594,177,Togo
247,449,793,Norway
247,449,907,Norway
247,449,552,Norway
248,516,537,Malawi
248,516,239,Turkey
249,1083,309,Canada
250,30,759,Canada
251,1304,144,Italy
251,1304,72,Italy
252,701,434,Kuwait
252,701,228,Angola
252,701,888,Angola
253,1475,275,Sweden
253,1475,352,Botswana
255,1473,883,Norway
257,701,276,Angola
257,701,151,Angola
257,701,939,Serbia
258,1429,567,Moldova
258,1429,63,Moldova
259,1473,367,Ukraine
261,1658,366,Egypt
262,516,820,Turkey
263,1170,903,Canada
264,1775,733,Ivory Coast
264,1775,682,Ivory Coast
264,1775,897,Cameroon
264,1775,718,Ivory Coast
266,965,746,Morocco
266,965,321,South Korea
266,965,91,Yemen
267,1454,992,Finland
268,837,476,India
268,837,887,India
268,837,629,Qatar
268,837,308,India
269,707,650,Gabon
269,707,799,Gabon
270,89,299,UK
271,1628,334,Sierra Leon
271,1628,154,Jordan
271,1628,704,USA
271,1628,266,Jordan
271,1628,623,Jordan
273,1601,312,United Arab Emirates
273,1601,495,United Arab Emirates
273,1601,409,United Arab Emirates
274,1318,825,Italy
274,1318,840,Uganda
275,243,966,Mexico
276,68,220,UK
277,1496,626,Finland
277,1496,62,Finland
277,1496,551,Denmark
278,742,65,Moxambique
278,742,974,Moxambique
278,742,51,Moxambique
279,417,611,Iceland
279,417,991,Iceland
280,584,155,Slovenia
282,1952,123,Japan
282,1952,51,Japan
282,1952,654,Japan
283,1892,748,India
284,1575,710,Turkey
284,1575,627,Turkey
285,1090,63,Canada
286,1775,547,Ivory Coast
286,1775,351,Ivory Coast
287,1591,143,Turkey
287,1591,305,Turkey
288,1870,61,India
289,598,201,Yemen
290,2063,387,Vietnam
291,727,301,Gabon
292,1883,371,India
293,492,822,Russia
294,1535,78,Russia
294,1535,822,Russia
295,127,243,France
296,516,9,Turkey
297,127,364,France
297,127,322,Lebanon
297,127,832,France
297,127,987,France
299,1601,223,Nigeria
301,398,369,Poland
301,398,98,Poland
301,398,462,Poland
301,398,963,Poland
302,1422,253,Austria
303,2095,540,Vietnam
303,2095,25,Vietnam
303,2095,650,Vietnam
304,1070,99,Spain
306,357,441,Slovakia
306,357,125,Estonia
307,1050,24,Slovakia
307,1050,972,USA
307,1050,230,USA
307,1050,95,USA
308,125,252,France
308,125,797,France
308,125,782,France
309,1457,296,Iceland
310,1416,601,Slovakia
310,1416,748,Slovakia
311,1497,547,Iceland
312,976,970,South Korea
312,976,100,South Korea
312,976,965,South Korea
313,1375,157,Germany
313,1375,726,Germany
313,1375,138,Belarus
314,469,543,Iceland
314,469,517,Saudi Arabia
315,297,566,Italy
316,1060,978,USA
316,1060,495,USA
317,885,364,China
317,885,293,China
318,1662,515,Egypt
319,1199,269,France
319,1199,666,France
320,1994,259,Japan
321,1429,632,Moldova
322,1404,621,Ivory Coast
322,1404,987,UK
323,1087,660,Canada
323,1087,15,Canada
323,1087,515,Canada
324,1565,114,Turkey
325,1431,536,Hungry
325,1431,806,Hungry
328,68,416,UK
328,68,598,UK
329,32,826,Albania
330,1898,650,Slovenia
330,1898,540,India
330,1898,736,India
332,1953,460,Japan
332,1953,981,Japan
332,1953,69,Iraq
334,1524,9,Russia
334,1524,951,Russia
334,1524,348,Russia
335,439,842,Gabon
335,439,615,Finland
337,955,881,South Korea
338,357,240,Estonia
340,257,715,Italy
340,257,851,Egypt
340,257,314,Italy
340,257,82,Italy
341,1781,802,Lesotho
342,392,281,Serbia
343,588,177,Kuwait
343,588,498,Kuwait
344,1139,732,UK
344,1139,806,UK
345,466,626,Togo
345,466,9,Russia
345,466,804,Russia
345,466,572,Russia
345,466,424,Russia
346,558,449,Qatar
346,558,366,Qatar
346,558,366,Spain
346,558,831,Qatar
347,1926,432,China
347,1926,530,China
348,1645,12,Iraq
348,1645,121,Iraq
349,1626,370,United Arab Emirates
350,362,119,Lebanon
350,362,537,Slovenia
351,1882,699,India
351,1882,228,Bosnia
351,1882,46,India
351,1882,254,India
352,478,181,Djibouti
352,478,203,United Arab Emirates
352,478,549,Russia
353,194,525,Spain
354,1064,395,USA
354,1064,102,USA
354,1064,713,USA
356,863,215,China
356,863,464,China
357,127,587,France
357,127,797,France
357,127,928,France
357,127,32,France
357,127,579,France
357,127,389,Qatar
358,836,838,India
358,836,672,India
358,836,648,India
358,836,332,India
359,1882,584,India
359,1882,359,India
360,360,374,Bulgaria
360,360,184,Bulgaria
360,360,151,Bulgaria
360,360,43,Bulgaria
360,360,55,Bulgaria
361,1414,417,Niger
362,493,602,Burundi
362,493,564,Russia
363,364,575,Ukraine
363,364,7,Ukraine
363,364,837,Ukraine
364,1753,30,Botswana
364,1753,712,Botswana
365,1608,367,Jordan
366,1265,941,Ivory Coast
367,978,950,South Korea
367,978,971,South Korea
367,978,110,Bosnia
367,978,23,Sierra Leon
367,978,207,South Korea
368,34,507,Canada
369,362,476,Slovenia
370,516,719,Bulgaria
370,516,796,Georgia
370,516,994,Turkey
370,516,776,Turkey
370,516,779,Bulgaria
371,1898,635,India
372,726,38,Benin
373,255,817,Italy
373,255,120,Italy
373,255,337,Italy
373,255,204,Bulgaria
373,255,213,Italy
373,255,817,Italy
373,255,329,Italy
375,395,814,Lithuania
375,395,338,Lithuania
375,395,920,Lithuania
376,815,378,India
376,815,387,Cameroon
376,815,482,India
377,1396,156,Germany
377,1396,901,Chad
377,1396,94,Germany
377,1396,38,Germany
378,1483,640,Burkina Faso
378,1483,430,Finland
378,1483,563,Finland
378,1483,31,Albania
379,2040,848,Rwanda
380,1612,645,Yemen
380,1612,879,Yemen
380,1612,272,Yemen
381,389,60,Mauritius
381,389,484,Moldova
382,46,844,Canada
382,46,882,Spain
382,46,953,Canada
383,1953,98,Japan
383,1953,503,Japan
384,516,233,Turkey
384,516,263,Turkey
384,516,45,Turkey
385,1372,690,Germany
385,1372,993,Germany
386,1940,728,China
386,1940,166,China
386,1940,362,China
387,850,975,China
387,850,132,China
387,850,325,Finland
388,34,280,Canada
388,34,179,Canada
389,2008,210,South Korea
389,2008,394,South Korea
390,487,921,Ghana
391,5,635,Czech Republic
391,5,380,USA
391,5,497,Slovenia
393,716,329,South Africa
393,716,741,South Africa
393,716,860,South Africa
394,1436,487,Macedonia
395,2096,394,Albania
396,890,14,China
397,1404,605,Russia
397,1404,481,Lithuania
399,1980,994,Japan
400,34,487,Canada
400,34,536,Canada
400,34,764,Canada
401,1194,372,France
401,1194,342,France
402,821,160,India
402,821,942,Djibouti
402,821,793,Senegal
403,1894,968,India
403,1894,648,Japan
403,1894,576,India
404,306,363,Finland
405,1857,329,India
405,1857,23,India
405,1857,622,India
406,742,756,Moxambique
406,742,240,Moxambique
407,1450,966,Norway
408,1050,182,USA
408,1050,19,USA
409,2063,351,Vietnam
409,2063,366,Vietnam
410,1783,604,Mali
411,395,568,Lithuania
411,395,197,Lithuania
411,395,599,Iceland
412,1275,312,Mexico
412,1275,114,Mexico
412,1275,888,Mexico
413,422,765,Sweden
413,422,775,Sweden
415,41,176,Canada
415,41,338,Montenegro
415,41,311,Canada
415,41,209,Canada
417,1083,550,Canada
417,1083,468,Canada
418,1761,954,Poland
420,398,391,Poland
420,398,670,Poland
420,398,163,Poland
420,398,959,Poland
420,398,41,Poland
421,1797,209,Algeria
421,1797,577,Montenegro
422,1761,348,Algeria
422,1761,476,Algeria
424,1926,613,China
424,1926,676,China
424,1926,783,Slovakia
425,1406,8,Hungry
425,1406,308,Hungry
426,1069,879,Poland
426,1069,974,USA
426,1069,713,USA
426,1069,662,USA
426,1069,529,USA
427,973,99,South Korea
427,973,772,South Korea
427,973,877,South Korea
427,973,848,South Korea
428,162,511,Spain
428,162,622,Spain
428,162,986,Spain
428,162,743,Spain
428,162,102,Spain
429,253,125,Norway
429,253,629,Italy
430,266,261,Italy
430,266,931,Italy
430,266,847,Angola
431,1714,413,Israel
431,1714,589,Israel
432,1871,973,India
433,1128,901,UK
433,1128,352,UK
434,2084,471,Vietnam
435,1633,839,Saudi Arabia
435,1633,960,Saudi Arabia
436,1883,904,India
436,1883,615,India
437,1116,884,UK
437,1116,500,South Africa
437,1116,689,UK
437,1116,722,UK
437,1116,15,UK
439,1164,371,France
440,1265,648,Mexico
440,1265,619,Mexico
441,487,807,Russia
441,487,365,Russia
441,487,799,Russia
441,487,597,Russia
441,487,400,Russia
441,487,736,Russia
442,1070,732,USA
442,1070,662,USA
442,1070,253,USA
442,1070,206,Niger
443,997,101,South Korea
445,885,742,China
445,885,852,Moldova
446,894,363,China
446,894,366,China
447,1497,230,Iceland
447,1497,541,Iceland
447,1497,685,Iceland
447,1497,360,Iceland
447,1497,532,Serbia
447,1497,714,Iceland
449,1460,314,Sweden
449,1460,79,Sweden
450,1980,93,Japan
450,1980,754,Bahrain
451,1139,760,UK
451,1139,271,Ivory Coast
452,2084,65,Vietnam
452,2084,999,Vietnam
452,2084,896,Slovakia
452,2084,155,Vietnam
452,2084,279,Vietnam
452,2084,466,Vietnam
453,257,314,Italy
453,257,730,Italy
454,1378,455,Germany
454,1378,61,South Korea
454,1378,140,Germany
456,1616,743,Saudi Arabia
456,1616,663,Saudi Arabia
457,716,575,South Africa
457,716,44,Ivory Coast
459,17,109,Belarus
459,17,704,Egypt
461,889,932,China
461,889,998,China
461,889,720,China
461,889,440,China
462,329,953,Germany
462,329,353,Germany
462,329,372,Germany
462,329,156,Germany
463,439,267,Finland
463,439,153,Finland
464,1735,198,Israel
464,1735,444,Israel
464,1735,553,Israel
465,1761,803,Moldova
465,1761,27,Algeria
465,1761,223,Algeria
466,1431,103,Hungry
466,1431,349,Norway
466,1431,741,Hungry
466,1431,703,Hungry
467,186,71,Spain
468,1761,509,Algeria
468,1761,84,Algeria
468,1761,341,Algeria
468,1761,36,Algeria
469,1506,991,Russia
469,1506,969,Russia
469,1506,414,Russia
470,49,384,USA
470,49,566,USA
470,49,836,USA
471,306,919,Germany
471,306,953,Germany
471,306,638,Germany
472,1518,113,Russia
473,858,276,China
473,858,910,Israel
474,831,960,India
477,943,527,Mexico
478,1472,205,Denmark
478,1472,123,Denmark
479,1922,667,Croatia
480,596,314,Bahrain
481,350,329,Hungry
481,350,982,Hungry
482,253,391,Italy
482,253,938,Italy
483,1116,459,UK
484,976,581,South Korea
484,976,1,South Korea
485,1281,576,Mexico
486,1638,469,Russia
486,1638,877,Oman
487,933,730,Japan
487,933,144,Japan
488,41,960,Canada
489,56,991,UK
489,56,744,UK
489,56,728,UK
490,1914,322,China
490,1914,113,China
491,712,675,Mali
491,712,434,Mali
491,712,954,Mali
492,2010,427,South Korea
492,2010,330,South Korea
493,301,801,Germany
493,301,116,Ethiopia
494,2095,208,Vietnam
